Age#,Boarding point 1,Cabin,Category,Class,Destination,destination,Embarked,Gender,Name,NameRaw,Origin,Parch - Calc,parch calc 2,Passenger Id,Port,Sex,SibSp - Calc,sibsp calc2,Survived,Survived - Calc,Survived num,Ticket,Age,Dest Lat,Dest Long,Dest point,Fare,Fare Rounded,Number of Passengers,Origin Lat,Origin Lon,Origin Point,Parch,Pclass,Route,Sib Sp,Survival Percentage,SurvivedRaw,Wreck ship Latitude,Wreck ship longitude
22,Southampton,A5,Men,Third,"New York, United States",New York,S,Male,Mr. Owen Harris Braund,"Braund, Mr. Owen Harris",Southampton,0,No,1,Southampton,male,1,Yes,Not Survived,Died,,A/5 21171,22,40.6677,-74.0407,Point,7.25,7,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
38,Southampton,C85,Women,First,"New York, United States",New York,C,Female,Mrs. John Bradley (Florence Briggs Thayer) Cumings,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Southampton,0,No,2,Cherbourg,female,1,Yes,Survived,Survived,,PC 17599,38,40.6677,-74.0407,Point,71.2833,71,1,50.9167,-1.38333,Point,0,1,LineString,1,1,1,41.726931,-49.948253
26,Southampton,A5,Women,Third,"New York, United States",New York,S,Female,Miss. Laina Heikkinen,"Heikkinen, Miss. Laina",Southampton,0,No,3,Southampton,female,0,No,Survived,Survived,,STON/O2. 3101282,26,40.6677,-74.0407,Point,7.925,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
34,Southampton,C123,Women,First,"New York, United States",New York,S,Female,Mrs. Jacques Heath (Lily May Peel) Futrelle,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Southampton,0,No,4,Southampton,female,1,Yes,Survived,Survived,,113803,35,40.6677,-74.0407,Point,53.1,53,1,50.9167,-1.38333,Point,0,1,LineString,1,1,1,41.726931,-49.948253
34,Southampton,A5,Men,Third,"New York, United States",New York,S,Male,Mr. William Henry Allen,"Allen, Mr. William Henry",Southampton,0,No,5,Southampton,male,0,No,Not Survived,Died,,373450,35,40.6677,-74.0407,Point,8.05,8,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
40,Southampton,A5,Men,Third,"New York, United States",New York,Q,Male,Mr. James Moran,"Moran, Mr. James",Southampton,0,No,6,Queenstown,male,0,No,Not Survived,Died,,330877,40,40.6677,-74.0407,Point,8.4583,8,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
54,Southampton,E46,Men,First,"New York, United States",New York,S,Male,Mr. Timothy J McCarthy,"McCarthy, Mr. Timothy J",Southampton,0,No,7,Southampton,male,0,No,Not Survived,Died,,17463,54,40.6677,-74.0407,Point,51.8625,51,1,50.9167,-1.38333,Point,0,1,LineString,0,0,0,41.726931,-49.948253
2,Southampton,A5,Children,Third,"New York, United States",New York,S,Male,Master. Gosta Leonard Palsson,"Palsson, Master. Gosta Leonard",Southampton,1,Yes,8,Southampton,male,3,Yes,Not Survived,Died,,349909,2,40.6677,-74.0407,Point,21.075,21,1,50.9167,-1.38333,Point,1,3,LineString,3,0,0,41.726931,-49.948253
26,Southampton,A5,Women,Third,"New York, United States",New York,S,Female,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Southampton,2,Yes,9,Southampton,female,0,No,Survived,Survived,,347742,27,40.6677,-74.0407,Point,11.1333,11,1,50.9167,-1.38333,Point,2,3,LineString,0,1,1,41.726931,-49.948253
14,Southampton,A5,Women,Second,"New York, United States",New York,C,Female,Mrs. Nicholas (Adele Achem) Nasser,"Nasser, Mrs. Nicholas (Adele Achem)",Southampton,0,No,10,Cherbourg,female,1,Yes,Survived,Survived,,237736,14,40.6677,-74.0407,Point,30.0708,30,1,50.9167,-1.38333,Point,0,2,LineString,1,1,1,41.726931,-49.948253
4,Southampton,G6,Children,Third,"New York, United States",New York,S,Female,Miss. Marguerite Rut Sandstrom,"Sandstrom, Miss. Marguerite Rut",Southampton,1,Yes,11,Southampton,female,1,Yes,Survived,Survived,,PP 9549,4,40.6677,-74.0407,Point,16.7,16,1,50.9167,-1.38333,Point,1,3,LineString,1,1,1,41.726931,-49.948253
58,Southampton,C103,Women,First,"New York, United States",New York,S,Female,Miss. Elizabeth Bonnell,"Bonnell, Miss. Elizabeth",Southampton,0,No,12,Southampton,female,0,No,Survived,Survived,,113783,58,40.6677,-74.0407,Point,26.55,26,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
20,Southampton,A5,Men,Third,"New York, United States",New York,S,Male,Mr. William Henry Saundercock,"Saundercock, Mr. William Henry",Southampton,0,No,13,Southampton,male,0,No,Not Survived,Died,,A/5. 2151,20,40.6677,-74.0407,Point,8.05,8,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
38,Southampton,A5,Men,Third,"New York, United States",New York,S,Male,Mr. Anders Johan Andersson,"Andersson, Mr. Anders Johan",Southampton,5,Yes,14,Southampton,male,1,Yes,Not Survived,Died,,347082,39,40.6677,-74.0407,Point,31.275,31,1,50.9167,-1.38333,Point,5,3,LineString,1,0,0,41.726931,-49.948253
14,Southampton,A5,Women,Third,"New York, United States",New York,S,Female,Miss. Hulda Amanda Adolfina Vestrom,"Vestrom, Miss. Hulda Amanda Adolfina",Southampton,0,No,15,Southampton,female,0,No,Not Survived,Died,,350406,14,40.6677,-74.0407,Point,7.8542,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
54,Southampton,A5,Women,Second,"New York, United States",New York,S,Female,Mrs. (Mary D Kingcome) Hewlett,"Hewlett, Mrs. (Mary D Kingcome) ",Southampton,0,No,16,Southampton,female,0,No,Survived,Survived,,248706,55,40.6677,-74.0407,Point,16,16,1,50.9167,-1.38333,Point,0,2,LineString,0,1,1,41.726931,-49.948253
2,Southampton,A5,Children,Third,"New York, United States",New York,Q,Male,Master. Eugene Rice,"Rice, Master. Eugene",Southampton,1,Yes,17,Queenstown,male,4,Yes,Not Survived,Died,,382652,2,40.6677,-74.0407,Point,29.125,29,1,50.9167,-1.38333,Point,1,3,LineString,4,0,0,41.726931,-49.948253
40,Southampton,A5,Men,Second,"New York, United States",New York,S,Male,Mr. Charles Eugene Williams,"Williams, Mr. Charles Eugene",Southampton,0,No,18,Southampton,male,0,No,Survived,Survived,,244373,40,40.6677,-74.0407,Point,13,13,1,50.9167,-1.38333,Point,0,2,LineString,0,1,1,41.726931,-49.948253
30,Southampton,A5,Women,Third,"New York, United States",New York,S,Female,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Southampton,0,No,19,Southampton,female,1,Yes,Not Survived,Died,,345763,31,40.6677,-74.0407,Point,18,18,1,50.9167,-1.38333,Point,0,3,LineString,1,0,0,41.726931,-49.948253
40,Southampton,A5,Women,Third,"New York, United States",New York,C,Female,Mrs. Fatima Masselmani,"Masselmani, Mrs. Fatima",Southampton,0,No,20,Cherbourg,female,0,No,Survived,Survived,,2649,40,40.6677,-74.0407,Point,7.225,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
34,Southampton,A5,Men,Second,"New York, United States",New York,S,Male,Mr. Joseph J Fynney,"Fynney, Mr. Joseph J",Southampton,0,No,21,Southampton,male,0,No,Not Survived,Died,,239865,35,40.6677,-74.0407,Point,26,26,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
34,Southampton,D56,Men,Second,"New York, United States",New York,S,Male,Mr. Lawrence Beesley,"Beesley, Mr. Lawrence",Southampton,0,No,22,Southampton,male,0,No,Survived,Survived,,248698,34,40.6677,-74.0407,Point,13,13,1,50.9167,-1.38333,Point,0,2,LineString,0,1,1,41.726931,-49.948253
14,Southampton,A5,Women,Third,"New York, United States",New York,Q,Female,"Miss. Anna ""Annie"" McGowan","McGowan, Miss. Anna ""Annie""",Southampton,0,No,23,Queenstown,female,0,No,Survived,Survived,,330923,15,40.6677,-74.0407,Point,8.0292,8,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
28,Southampton,A6,Men,First,"New York, United States",New York,S,Male,Mr. William Thompson Sloper,"Sloper, Mr. William Thompson",Southampton,0,No,24,Southampton,male,0,No,Survived,Survived,,113788,28,40.6677,-74.0407,Point,35.5,35,1,50.9167,-1.38333,Point,0,1,LineString,0,1,1,41.726931,-49.948253
8,Southampton,A5,Children,Third,"New York, United States",New York,S,Female,Miss. Torborg Danira Palsson,"Palsson, Miss. Torborg Danira",Southampton,1,Yes,25,Southampton,female,3,Yes,Not Survived,Died,,349909,8,40.6677,-74.0407,Point,21.075,21,1,50.9167,-1.38333,Point,1,3,LineString,3,0,0,41.726931,-49.948253
38,Southampton,A5,Women,Third,"New York, United States",New York,S,Female,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Southampton,5,Yes,26,Southampton,female,1,Yes,Survived,Survived,,347077,38,40.6677,-74.0407,Point,31.3875,31,1,50.9167,-1.38333,Point,5,3,LineString,1,1,1,41.726931,-49.948253
40,Southampton,A5,Men,Third,"New York, United States",New York,C,Male,Mr. Farred Chehab Emir,"Emir, Mr. Farred Chehab",Southampton,0,No,27,Cherbourg,male,0,No,Not Survived,Died,,2631,40,40.6677,-74.0407,Point,7.225,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
18,Southampton,C23 C25 C27,Men,First,"New York, United States",New York,S,Male,Mr. Charles Alexander Fortune,"Fortune, Mr. Charles Alexander",Southampton,2,Yes,28,Southampton,male,3,Yes,Not Survived,Died,,19950,19,40.6677,-74.0407,Point,263,263,1,50.9167,-1.38333,Point,2,1,LineString,3,0,0,41.726931,-49.948253
40,Southampton,A5,Women,Third,"New York, United States",New York,Q,Female,"Miss. Ellen ""Nellie"" O'Dwyer","O'Dwyer, Miss. Ellen ""Nellie""",Southampton,0,No,29,Queenstown,female,0,No,Survived,Survived,,330959,40,40.6677,-74.0407,Point,7.8792,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
40,Southampton,A5,Men,Third,"New York, United States",New York,S,Male,Mr. Lalio Todoroff,"Todoroff, Mr. Lalio",Southampton,0,No,30,Southampton,male,0,No,Not Survived,Died,,349216,40,40.6677,-74.0407,Point,7.8958,7,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
40,Southampton,A5,Men,First,"New York, United States",New York,C,Male,Don. Manuel E Uruchurtu,"Uruchurtu, Don. Manuel E",Southampton,0,No,31,Cherbourg,male,0,No,Not Survived,Died,,PC 17601,40,40.6677,-74.0407,Point,27.7208,27,1,50.9167,-1.38333,Point,0,1,LineString,0,0,0,41.726931,-49.948253
40,Southampton,B78,Women,First,"New York, United States",New York,C,Female,Mrs. William Augustus (Marie Eugenie) Spencer,"Spencer, Mrs. William Augustus (Marie Eugenie)",Southampton,0,No,32,Cherbourg,female,1,Yes,Survived,Survived,,PC 17569,40,40.6677,-74.0407,Point,146.5208,146,1,50.9167,-1.38333,Point,0,1,LineString,1,1,1,41.726931,-49.948253
40,Southampton,A5,Women,Third,"New York, United States",New York,Q,Female,Miss. Mary Agatha Glynn,"Glynn, Miss. Mary Agatha",Southampton,0,No,33,Queenstown,female,0,No,Survived,Survived,,335677,40,40.6677,-74.0407,Point,7.75,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
66,Southampton,A5,Men,Second,"New York, United States",New York,S,Male,Mr. Edward H Wheadon,"Wheadon, Mr. Edward H",Southampton,0,No,34,Southampton,male,0,No,Not Survived,Died,,C.A. 24579,66,40.6677,-74.0407,Point,10.5,10,1,50.9167,-1.38333,Point,0,2,LineString,0,0,0,41.726931,-49.948253
28,Southampton,A5,Men,First,"New York, United States",New York,C,Male,Mr. Edgar Joseph Meyer,"Meyer, Mr. Edgar Joseph",Southampton,0,No,35,Cherbourg,male,1,Yes,Not Survived,Died,,PC 17604,28,40.6677,-74.0407,Point,82.1708,82,1,50.9167,-1.38333,Point,0,1,LineString,1,0,0,41.726931,-49.948253
42,Southampton,A5,Men,First,"New York, United States",New York,S,Male,Mr. Alexander Oskar Holverson,"Holverson, Mr. Alexander Oskar",Southampton,0,No,36,Southampton,male,1,Yes,Not Survived,Died,,113789,42,40.6677,-74.0407,Point,52,52,1,50.9167,-1.38333,Point,0,1,LineString,1,0,0,41.726931,-49.948253
40,Southampton,A5,Men,Third,"New York, United States",New York,C,Male,Mr. Hanna Mamee,"Mamee, Mr. Hanna",Southampton,0,No,37,Cherbourg,male,0,No,Survived,Survived,,2677,40,40.6677,-74.0407,Point,7.2292,7,1,50.9167,-1.38333,Point,0,3,LineString,0,1,1,41.726931,-49.948253
20,Southampton,A5,Men,Third,"New York, United States",New York,S,Male,Mr. Ernest Charles Cann,"Cann, Mr. Ernest Charles",Southampton,0,No,38,Southampton,male,0,No,Not Survived,Died,,A./5. 2152,21,40.6677,-74.0407,Point,8.05,8,1,50.9167,-1.38333,Point,0,3,LineString,0,0,0,41.726931,-49.948253
18,Southampton,A5,Women,Third,"New York, United States",New York,S,Female,Miss. Augusta Maria Vander Planke,"Vander Planke, Miss. Augusta Maria",Southampton,0,No,39,Southampton,female,2,Yes,Not Survived,Died,,345764,18,40.6677,-74.0407,Point,18,18,1,50.9167,-1.38333,Point,0,3,LineString,2,0,0,41.726931,-49.948253
14,Southampton,A5,Women,Third,"New York, United States",New York,C,Female,Miss. Jamila Nicola-Yarred,"Nicola-Yarred, Miss. Jamila",Southampton,0,No,40,Cherbourg,female,1,Yes,Survived,Survived,,2651,14,40.6677,-74.0407,Point,11.2417,11,1,50.9167,-1.38333,Point,0,3,LineString,1,1,1,41.726931,-49.948253
